value
"2019:02:05:20:42:00,437,107603,25.649297608294,26.197298550882987,22.0380295120558,151,0,250,1556088772,330,300,2400,565,12,9.192211454928183,131.85009873157543,132.04603925500706,133.0704553284275,457632,0.6504152580203663,6152,0,0,0,0,202,0,2,0,6,60.03352564005807,88,1,373.7427738931277,407,107,310,17,60.08289757433813"
"2019:10:24:02:18:00,297,107603,38.06960362876998,37.213211661449165,34.2025936123202,105,0,631,1552583974,330,300,2400,62,3,6.913566024060856,88.4793768858508,129.00177386985598,130.74515884903303,429092,0.5481351066011121,5925,6013,0,2,0,202,0,2,0,0,59.972222124232026,63,0,367.4561982484447,529,12,363,105,59.90809203701843"
"2019:08:23:05:33:00,360,107603,30.673667483325698,29.89329751505138,24.190538631042,107,0,588,1552436362,330,300,2400,156,23,6.884878926628517,88.41417701103347,128.88178650751652,130.72605463709405,424283,0.1703432074126613,5917,0,0,2,32768,202,0,2,256,5,60.044722718734704,59,0,367.2185328519743,500,107,263,42,60.10237176954353"
"2019:03:21:10:36:18,687,107603,15.92669610212007,15.667113617748182,14.116709251207016,0,0,250,1556088729,330,300,2400,0,0,6.994364988880989,23.969818920963007,128.62377008055046,129.77667474937445,457632,0.14771958787474432,6152,0,0,2,0,202,0,2,0,0,60.01626433430006,0,1,313.0784715726335,0,107,273,0,59.900631535830726"
"2019:05:16:10:39:01,083,107603,19.556902643284502,20.007845819484192,17.054609843394203,97,0,250,1556088437,330,300,2400,0,0,6.885389108925665,94.10679236403084,129.47737946376074,130.770226117874,457632,0.16664544188257424,6152,6002,0,0,0,202,0,2,0,4,59.98251920217626,61,1,318.2706260200699,0,111,252,0,60.07906723543361"
"2019:09:06:07:43:01,453,107603,24.191429225439787,23.86233874559839,23.050106878452063,0,0,250,1556088744,330,300,2400,0,0,6.816210311546456,22.779053296140773,129.99672594371077,131.47622611597473,457632,0.13483619099766658,6152,0,0,0,32768,202,0,2,0,0,59.993653210238335,0,1,317.915181130774,0,111,212,0,59.88762111402271"
"2019:05:07:09:06:00,227,107603,21.593764006623317,21.757960850470045,17.041168556181354,185,0,250,1556088785,330,300,2400,187,733,6.858800537565912,161.906500005009,131.97834341777488,132.95024276960322,457632,0.9455966747700586,6152,6001,0,0,0,202,0,2,256,5,59.92229072421829,105,0,375.07739674423215,249,111,256,215,59.93203820497918"
"2019:08:28:05:46:00,334,107603,25.885720282488183,26.14504890746175,22.44706139879272,155,0,595,1554237530,330,300,2400,1032,559,6.852006239181719,122.93204322774254,128.87250415208547,130.73499522547425,450640,0.6778123261092697,5997,6013,0,0,32768,202,0,2,256,5,60.03786651135117,89,0,368.2621615750337,496,111,262,33,60.11136581360974"
"2019:03:28:11:27:00,359,107603,15.905668943113781,15.609304172713239,14.116709251207016,0,0,250,1556088748,330,300,2400,0,0,6.891581481839239,22.841951592486293,130.61425942770728,132.05157659299584,457632,0.10688639655779297,6152,6002,0,0,0,202,0,2,0,3,59.98409026757727,0,1,318.05544330363625,0,111,217,0,59.99505573257491"
"2019:02:20:15:36:01,328,107603,26.88346693587082,29.415069959909303,25.566104026207906,110,0,654,1555719725,330,300,2400,129,77,6.988953057114486,75.86769701966696,129.81094024764607,130.97672421046954,456128,0.5455646009213524,6134,6013,0,0,32768,202,0,2,256,0,59.96026953584423,63,0,368.73576830217354,495,111,160,35,59.929751724425444"
