value
"2019:01:02:08:41:07,671;107605;202;300;1546399861;384785;22.5;312.7;128.1;128.6;0;0;0.14;0;0;2400;59.96;60.04;268;0;0;7;330;0;250;0;33.4;33.1;31.2;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:42:01,078;107605;202;300;1546399914;384785;22.5;312.7;127.9;128.8;0;0;0.14;0;0;2400;60;60.09;268;0;0;7;330;0;250;0;33.4;33;31.1;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:43:01,734;107605;202;300;1546399973;384785;22.5;313.1;128.1;128.8;0;0;0.14;0;0;2400;59.97;59.89;268;0;0;7;330;0;250;0;33.3;32.9;30.9;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:44:00,500;107605;202;300;1546400032;384785;22.5;313.7;128.3;129.1;0;0;0.14;0;0;2400;59.94;59.86;268;0;0;7;330;0;250;0;33.2;32.7;30.7;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:45:01,500;107605;202;300;1546400093;384785;22.5;313.6;128.1;128.8;0;0;0.14;0;0;2400;59.96;59.87;268;0;0;7;330;0;250;0;33.1;32.7;30.6;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:46:00,640;107605;202;300;1546400154;384785;22.5;313.8;128.3;128.9;0;0;0.14;0;0;2400;59.98;59.89;268;0;0;7;330;0;250;0;33;32.6;30.5;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:48:05,078;107605;202;300;1546400211;384784;22.5;313.1;128.1;128.6;0;0;0.14;0;0;2400;59.94;59.86;268;0;0;7;330;0;250;0;33;32.5;30.4;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:49:00,781;107605;202;300;1546400334;384784;22.5;314.6;128.8;129.3;0;0;0.14;0;0;2400;60.04;60.13;268;0;0;7;330;0;250;0;32.8;32.4;30.3;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:50:00,031;107605;202;300;1546400393;384784;22.5;313;128.1;128.6;0;0;0.14;0;0;2400;59.96;60.05;268;0;0;7;330;0;250;0;32.8;32.3;30.2;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:51:02,375;107605;202;300;1546400455;384784;22.5;313.1;128.3;129.1;0;0;0.14;0;0;2400;60.04;59.95;268;0;0;7;330;0;250;0;32.8;32.3;30.1;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:52:03,312;107605;202;300;1546400517;384784;22.5;314.4;128.6;129.1;0;0;0.14;0;0;2400;60.02;60.1;268;0;0;7;330;0;250;0;32.8;32.3;30;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:53:01,437;107605;202;300;1546400575;384784;22.5;313.1;128.1;128.6;0;0;0.14;0;0;2400;60;60.09;268;0;0;7;330;0;250;0;32.8;32.3;29.9;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:54:00,203;107605;202;300;1546400633;384784;22.5;313.9;128.6;129.1;0;0;0.14;0;0;2400;60.02;60.1;268;0;0;7;330;0;250;0;32.7;32.3;29.9;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:55:00,140;107605;202;300;1546400693;384784;22.5;312.7;127.9;128.4;0;0;0.14;0;0;2400;59.98;60.07;268;0;0;7;330;0;250;0;32.7;32.2;29.8;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:56:03,718;107605;202;300;1546400757;384784;22.5;312.7;127.9;128.2;0;0;0.14;0;0;2400;59.97;59.89;268;0;0;7;330;0;250;0;32.7;32.2;29.8;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:57:01,203;107605;202;300;1546400814;384784;22.5;312.7;128.1;128.6;0;0;0.14;0;0;2400;59.96;60.05;268;0;0;7;330;0;250;0;32.7;32.2;29.9;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:58:01,250;107605;202;300;1546400874;384784;22.5;312.4;127.9;128.8;0;0;0.14;0;0;2400;59.98;59.89;268;0;0;7;330;0;250;0;32.7;32.2;29.9;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:08:59:20,359;107605;202;300;1546400953;384783;22.5;312.5;128.1;128.6;0;0;0.14;0;0;2400;59.97;59.89;268;0;0;7;330;0;250;0;32.8;32.3;29.9;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:09:00:01,109;107605;202;300;1546400994;384783;22.5;311.9;127.4;127.6;0;0;0.14;0;0;2400;59.95;60.04;268;0;0;7;330;0;250;0;32.8;32.4;29.9;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:09:01:00,234;107605;202;300;1546401053;384783;22.5;312.9;128.1;128.8;0;0;0.14;0;0;2400;59.96;60.05;268;0;0;7;330;0;250;0;32.8;32.4;29.9;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:09:02:09,250;107605;202;300;1546401122;384783;22.5;313.1;128.1;128.6;0;0;0.14;0;0;2400;60.01;60.1;268;0;0;7;330;0;250;0;32.8;32.4;29.8;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:09:03:01,296;107605;202;300;1546401175;384783;22.5;312.6;127.9;128.4;0;0;0.14;0;0;2400;60;59.91;268;0;0;7;330;0;250;0;32.8;32.4;29.8;5275;107;2;0;1;0;0;32768;2;0"
"2019:01:02:09:04:01,484;107605;202;300;1546401235;384783;22.5;313.4;128.1;129.1;0;0;0.14;0;0;2400;59.99;59.91;268;0;0;7;330;0;250;0;32.8;32.5;29.9;5275;107;2;0;1;0;0;32768;2;0"
